"crab" "y" "weight" "width" "color" "spine"
"147" 147 4 3.725 31.7 2 1
"148" 148 4 3.025 29.5 2 3
"149" 149 10 1.9 24 3 3
"150" 150 9 3 30 2 3
"151" 151 4 2.85 27.6 2 3
"152" 152 0 2.3 26.2 2 3
"153" 153 0 2 23.1 2 1
"154" 154 0 1.6 22.9 2 1
"155" 155 0 1.9 24.5 4 3
"156" 156 4 1.95 24.7 2 3
"157" 157 0 3.2 28.3 2 3
"158" 158 2 1.85 23.9 2 3
"159" 159 0 1.8 23.8 3 3
"160" 160 4 3.5 29.8 3 2
"161" 161 4 2.35 26.5 2 3
"162" 162 3 2.275 26 2 3
"163" 163 8 3.05 28.2 2 3
"164" 164 0 2.15 25.7 4 3
"165" 165 7 2.75 26.5 2 3
"166" 166 0 2.2 25.8 2 3
"167" 167 0 1.8 24.1 3 3
"168" 168 2 2.175 26.2 3 3
"169" 169 3 2.75 26.1 3 3
"170" 170 4 3.275 29 3 3
"171" 171 0 2.625 28 1 1
"172" 172 0 2.625 27 4 3
"173" 173 0 2 24.5 2 2
